environment,scenario,configuration_sha256,planner,method,fixed_speed_limit_mps,success,execution_time_s,tracking_rmse_m,tracking_max_error_m,curve_tracking_rmse_m,curve_exit_tracking_rmse_m,estimated_tracking_rmse_m,estimated_tracking_max_error_m,final_position_error_m,final_yaw_error_rad,localization_position_error_p95_m,actual_max_linear_mps,actual_max_angular_radps,actual_max_wheel_linear_mps,adaptive_speed_nominal_p95_abs_jerk_mps3,adaptive_speed_safety_override_fraction,planned_footprint_collision_sample_count,collision_monitor_interventions,raw_path_sha256,selected_path_sha256
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2_fixed,0.0,True,38.175000000000004,0.022305500413816706,0.037701638800828274,0.022817470016221742,0.028580296640606156,0.00621344247553482,0.017859313832652175,0.0248360801362087,0.001018685472430669,0.05248138034348876,0.3000000184399914,0.34640577505060915,0.30217633540821326,0.9,0.056282722513089,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2_fixed,0.15,True,42.822,0.024683038060094052,0.04309029823356127,0.020844442096901932,0.03371542462624731,0.005430092036874254,0.018783264163683176,0.021606697414914444,0.005003215524295945,0.049034059308575816,0.15000009541373127,0.3642447663602336,0.18394136661540025,0.9,0.02677532013969732,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2_fixed,0.22,True,34.803000000000004,0.02814104048442135,0.05072663333731073,0.020104061371055124,0.03810395928584917,0.006499370731032519,0.018747660589447917,0.0305376150631887,0.005290159897269886,0.052925423862319076,0.22661766410909742,0.36142254715775446,0.23227376777753186,0.9,0.06142857142857143,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,raw,0.0,True,33.168,0.02591428312878716,0.043785397480626216,0.01605165648415377,0.029606770054160108,0.006334433254330459,0.023847274082617956,0.031423488501807983,0.0014326711184583507,0.05831537664720697,0.2999999618630589,0.34698488392700383,0.30263127769056936,0.9,0.07368421052631578,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388
research_warehouse,lower_left_diagonal,,ThetaStar,raw,0.15,True,42.99,0.027686460742623684,0.052186805320084496,0.022771405493995596,0.035761410717460335,0.006100596822380832,0.028708732146650255,0.03140415834906229,0.014423469109351994,0.05759556583735113,0.15000009547645818,0.36995187272639507,0.18411139054613923,0.9,0.024305555555555556,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388
research_warehouse,lower_left_diagonal,,ThetaStar,raw,0.22,True,35.952000000000005,0.022701909909152707,0.03516247793638352,0.016655809472410032,0.02654391597705677,0.005537719668472154,0.02554347816720623,0.016452902570980598,0.0008450848419172541,0.04587295348822137,0.22340187919771948,0.3656911124010046,0.23393523385291895,0.9,0.0458970792767733,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388
research_warehouse,lower_left_diagonal,,ThetaStar,savitzky_golay,0.0,True,35.673,0.025870743318349498,0.04623542865975696,0.025564575029764346,0.033129011675611435,0.008168300026363857,0.029010336592032348,0.02818704898152259,0.010732225937548856,0.05459645595065719,0.3000000369534584,0.36384939068420646,0.30885402037373644,0.9,0.04755244755244755,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,ea159102e45466f5ca30ce5566824601b9928fbb2945d22537315ba54bd903a2
research_warehouse,lower_left_diagonal,,ThetaStar,savitzky_golay,0.15,True,41.970000000000006,0.026653105393154432,0.052344495180237316,0.023796497301621335,0.03811442989043648,0.005960311407948762,0.01908936938145679,0.02579146861362919,0.0028849795944619894,0.05320331560778942,0.1500000984669263,0.3647652776264379,0.1860578006956746,0.9,0.0166270783847981,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,ea159102e45466f5ca30ce5566824601b9928fbb2945d22537315ba54bd903a2
research_warehouse,lower_left_diagonal,,ThetaStar,savitzky_golay,0.22,True,32.973,0.031239038159817212,0.05735105557254147,0.025364697319480947,0.044957064963625205,0.008737672232550429,0.024736606972528732,0.02182538070295772,0.0025355415489667354,0.05408266823494976,0.225956858716407,0.3928030554093528,0.2697326360515469,0.9,0.03636363636363636,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,ea159102e45466f5ca30ce5566824601b9928fbb2945d22537315ba54bd903a2
research_warehouse,lower_left_diagonal,,ThetaStar,simple,0.0,True,28.668000000000003,0.03750337584334404,0.07535760892319222,0.028122288333390838,0.05309876525892208,0.012086587333098352,0.02785779132056277,0.031154907703877504,0.0083010277572384,0.05889869880239692,0.3000000346203388,0.4621026655690553,0.35720888129562145,0.9,0.04861111111111111,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,a1e25de484436d33944fe3f075ea28b053afc3a5b6b9c4fa4f5bee00b2b9d257
research_warehouse,lower_left_diagonal,,ThetaStar,simple,0.15,True,42.168,0.021896002549195465,0.03498576098075006,0.019254830028293125,0.029689566425254624,0.004983932485446701,0.012430927184046639,0.02384346341988001,0.012632902438719729,0.04864219101366154,0.15000008700005082,0.3656980431280129,0.1818443490233386,0.9,0.014201183431952662,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,a1e25de484436d33944fe3f075ea28b053afc3a5b6b9c4fa4f5bee00b2b9d257
research_warehouse,lower_left_diagonal,,ThetaStar,simple,0.22,True,32.106,0.025668876964862343,0.04871406004005967,0.021551751346145235,0.036023400456539664,0.007582748198673926,0.017119836851281572,0.023732549150037828,0.0002779939900285911,0.04955421144357467,0.22507807998013218,0.34611354081958184,0.2640896559670744,0.9,0.026438569206842923,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,a1e25de484436d33944fe3f075ea28b053afc3a5b6b9c4fa4f5bee00b2b9d257
warehouse_cross_aisles,cross_aisle_transfer,,ThetaStar,pivot_g2,0.15,True,61.047000000000004,0.017242641654649827,0.032090449453109654,0.014313228487328125,0.02164478219349658,0.003847771890524148,0.016085431331889763,0.016530448129062753,0.0019375573227199405,0.041883912684631874,0.15000008201233783,0.3323228894851181,0.16671119190114095,0.4516205999999993,0.010594947025264874,0,0,b2019d5953c23e43ff4b614fa0466c74ee907a0c5dd0394552a631fcbc40045d,e1d25292e104cf4f477adaf3580d912e58072287b4d88c02d358465c16382343
warehouse_cross_aisles,cross_aisle_transfer,,ThetaStar,pivot_g2,0.22,True,45.663000000000004,0.023746141465592927,0.039771834381493454,0.01938137003070232,0.031861486310635,0.005661652905434374,0.015064505433951244,0.02005958604921231,0.0060008245131494276,0.04545484585829507,0.225101414551022,0.34335813605074905,0.2437992388597336,0.9,0.019672131147540985,0,0,b2019d5953c23e43ff4b614fa0466c74ee907a0c5dd0394552a631fcbc40045d,e1d25292e104cf4f477adaf3580d912e58072287b4d88c02d358465c16382343
warehouse_dispatch,full_replenishment,27ec3e7aa6b9fa9f26224a231b8be8a2f0c98603a970e7f55a8dcf397ed8bdcf,ThetaStar,adaptive_hybrid,0.22,True,95.349,0.03352245631985527,0.06354429365807392,0.03381478283798412,0.0457651195958624,0.005804075898635591,0.032273893714358716,0.034785597646988596,0.016730511381015556,0.05298968627924882,0.2200000862470935,0.5131155935216895,0.26923948404201864,0.9,0.02109704641350211,0,0,02477420bf37e3229dd5d4fb7c779b52c9bd6b04c1580e414914c25d9060b0f6,2bf46c1bf3de4bfe3d7923f718a6859a908a311a95b302247ef15fb11f647bcf
warehouse_dispatch,full_replenishment,,ThetaStar,pivot_g2,0.15,True,119.95800000000001,0.03577914588409441,0.07393559193141433,0.04316253466917218,0.04423082375086384,0.005034269120681616,0.0340775827849683,0.05858942976314897,0.022678927061851928,0.06077910981028182,0.1500001123852473,0.5157076129498738,0.17511745672342727,0.9,0.022983702465524447,0,0,02477420bf37e3229dd5d4fb7c779b52c9bd6b04c1580e414914c25d9060b0f6,fd05d6d13d59e3fba8e1f8541d885eb6e9a19b9b7c6e0f3094a81e9f8acf7338
warehouse_dispatch,full_replenishment,27ec3e7aa6b9fa9f26224a231b8be8a2f0c98603a970e7f55a8dcf397ed8bdcf,ThetaStar,pivot_g2,0.22,False,79.116,0.028867437125651686,0.08163212284361478,0.036683111027927436,0.03576944582312853,0.004886092391517625,0.032382291801159396,1.178224146943172,0.21611774862357702,0.0643113180316959,0.22000008642705904,0.5121170635836009,0.2415847004717454,0.9,0.023575638506876228,0,0,02477420bf37e3229dd5d4fb7c779b52c9bd6b04c1580e414914c25d9060b0f6,fd05d6d13d59e3fba8e1f8541d885eb6e9a19b9b7c6e0f3094a81e9f8acf7338
warehouse_long_aisles,diagonal_replenishment,,ThetaStar,pivot_g2,0.15,True,120.73800000000001,0.029380949138274513,0.06241390928192146,0.03555250470964109,0.028252717987175928,0.0046892615648218795,0.03216110878339616,0.014930032613796506,0.012545195002730712,0.052456432574749655,0.15000010577984596,0.527701207529304,0.17450502137990573,0.9,0.023976849937990905,0,0,f53229b28fb24bdea59346a5175179613252d55539c694ca04588430b5eed0fe,da37380765886fead0de87127f78f3fb5685d11274caa2241a48792f8fb610a7
warehouse_long_aisles,diagonal_replenishment,,ThetaStar,pivot_g2,0.22,True,95.022,0.033479995690720264,0.07297486967594871,0.04251944530861256,0.029102374239398966,0.005259719067371132,0.03151898131762409,0.012296820517555762,0.010627479092347791,0.06068181066601777,0.22571155783773955,0.5341503729752988,0.2299307954590742,0.9,0.03361344537815126,0,0,f53229b28fb24bdea59346a5175179613252d55539c694ca04588430b5eed0fe,da37380765886fead0de87127f78f3fb5685d11274caa2241a48792f8fb610a7
