benchmark_environment,benchmark_source,trial_json,scenario,planner,method,success,execution_time_s,controller_action_time_s,physical_settle_time_s,traveled_distance_m,final_position_error_m,final_yaw_error_rad,mean_cross_track_error_m,max_cross_track_error_m,tracking_rmse_m,tracking_max_error_m,collision_monitor_interventions,planned_footprint_collision_sample_count,raw_path_sha256,selected_path_sha256
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smachybrid_raw.json,center_block_detour,SmacHybrid,raw,True,29.349,28.020000000000003,1.328999999999997,4.196819105686917,0.07863110356669716,0.08560157497568034,,,0.03860645923566657,0.1242544011071021,0,0,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smachybrid_simple.json,center_block_detour,SmacHybrid,simple,True,28.197000000000003,26.832,1.365000000000002,4.1445975831135105,0.07699627798878575,0.0892255072330987,,,0.03132825346342961,0.08343456269931133,0,0,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,68acd648a10a4feed4d6e58cd24e0ec464a9c2fe9ba6ee8292e82417a2d33d43
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smachybrid_savitzky_golay.json,center_block_detour,SmacHybrid,savitzky_golay,True,29.715000000000003,28.422,1.2930000000000028,4.197972330749113,0.06888034900105214,0.08760980617219098,,,0.03533129647928601,0.10832066179827286,0,0,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,a98ec9b93b65a82e7eb065311b1429f072ffd2e731e4ce2cae41bd64b87389b2
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smachybrid_constrained.json,center_block_detour,SmacHybrid,constrained,True,30.924000000000003,29.628,1.296000000000003,4.235275965292467,0.07531500607796324,0.08671162159417364,,,0.039195380964280484,0.1194019757287918,0,0,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,3e1ee4e062189faf445a0f2f15c507990a958e8357cfa7b227b74e3998dbad34
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smachybrid_pstmo.json,center_block_detour,SmacHybrid,pstmo,True,28.098000000000003,26.775000000000002,1.3230000000000004,4.099906264343289,0.06706346034584956,0.09556116881179845,,,0.026069444551259285,0.06786477163435332,0,0,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,693c8564391f3c8c3d1fdb59062ed1d2cac12ab732d1cb37fd04c2d34854763d
research_warehouse,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/research_warehouse/lower_left_diagonal_navfnastar_raw.json,lower_left_diagonal,NavFnAStar,raw,True,31.911,30.648000000000003,1.2629999999999981,4.5366874446292496,0.013996646355376856,0.06393502702025722,,,0.022097136628486037,0.03997353388090908,0,0,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662
research_warehouse,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/research_warehouse/lower_left_diagonal_navfnastar_simple.json,lower_left_diagonal,NavFnAStar,simple,True,31.194000000000003,29.952,1.2420000000000009,4.5192781354654485,0.012126016431118743,0.06699784440776202,,,0.024576355923769683,0.04517572637300637,0,0,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,c4fbbcf76e122e8244b465f0b5a18ae9a25a7c3b0792c53c03624e0d6c46044b
research_warehouse,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/research_warehouse/lower_left_diagonal_navfnastar_savitzky_golay.json,lower_left_diagonal,NavFnAStar,savitzky_golay,True,31.839000000000002,30.441000000000003,1.3979999999999997,4.530700491063666,0.01299471857146563,0.09673664169959473,,,0.021953690094118877,0.044063661807510736,0,0,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,a3561c0c8c2b3ed1cadf7a4d6259115b06401aef0973cb3eeaffc1bc4691150b
research_warehouse,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/research_warehouse/lower_left_diagonal_navfnastar_constrained.json,lower_left_diagonal,NavFnAStar,constrained,True,31.674000000000003,30.375000000000004,1.2989999999999995,4.546645586097258,0.009020456036842086,0.08428890883662765,,,0.021275874726862435,0.03995149216849703,0,0,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,efc6a2c1ea653bc1eb2d4cf4eec272a0166a64b7451685ab1e515f43eb44396a
research_warehouse,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/research_warehouse/lower_left_diagonal_navfnastar_pstmo.json,lower_left_diagonal,NavFnAStar,pstmo,True,31.416,30.123,1.2929999999999993,4.5169210709870224,0.019642655898696997,0.0725013805153526,,,0.015192512638494063,0.04642701160595714,0,0,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,a2e18c3e4a379c09e18fe25eb09d8a552121b70393ed045261ac1f37834b51cb
