algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,7.889111786833237,0.01486201384118413,0.0019550798848322285,,4.038571942491414,savitzky_golay,0.05,258,fe7cd26f17bf2e816378bd46a4b3342386497a00bc0d6a6cb7c894fa1e8ef340,13.647753561432731,,,,0,0.0,,,,,,0,,ThetaStar,275,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,1,long_northeast_to_southwest,True,7.889111786833237,4.038571942491414,13.647753561432731,1,0.005936942998232553
0.009000000000000001,5.092721310802386,0.03344334650124391,0.011297989999259319,,4.068690527773785,constrained,0.05,258,daa01d47dffde011c70cf97d890280e4da88e47589bfbb09daba20a383c8eb93,13.659418360628484,,,,0,0.0,,,,,,0,,ThetaStar,275,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,1,long_northeast_to_southwest,True,5.092721310802386,4.068690527773785,13.659418360628484,1,0.016738856000301894
0.009000000000000001,17.104960960586936,0.013190805467195975,0.0012201011825776445,,13.211045397234995,pivot_g2,0.05,552,15512fbe069fa4bf44ace82bc8a16213b8d907cd727c67101d65d84520cc962c,13.658306210591153,43,21,20,1,0.785398163397448,200,1,552,1,0.00817333,0.785398163397448,130,ThetaStar,275,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,1,long_northeast_to_southwest,True,8.21507856010841,3.747410786187702,13.6604256383343,2,0.018978660000357195
0.003,5.1002111312387,4.440892098500626e-16,9.677360986340288e-17,,3.4349646960949354,raw,0.05,214,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,12.085153966863464,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,5.1002111312387,3.4349646960949354,12.085153966863464,1,0.006155021001177374
0.0,0.45547820703997566,0.015010734665652496,0.003636870670919907,,0.6708777790248245,simple,0.05,214,7b500bc3656cab94463541f697ef05e8806ac2eecd1d189a895c932543fe9090,12.070657687966037,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.45547820703997566,0.6708777790248245,12.070657687966037,1,0.006199432000357774
0.0,1.3845109680217234,0.005211393706604708,0.0011629650496660733,,1.0931732620949273,savitzky_golay,0.05,214,35c72090d3d1cecea67d0e22d9ffd4972f12d76182a32f17a6c81b1937d15e6a,12.079880240350828,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,1.3845109680217234,1.0931732620949273,12.079880240350828,1,0.005364921998989303
0.009000000000000001,0.6557588211011167,0.019133616608167796,0.005718666923033917,,0.8302609007902736,constrained,0.05,214,72c67787a32f4388790890c83bcf458d5caae0df99139e6c0a7384781b83734a,12.083892327539157,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.6557588211011167,0.8302609007902736,12.083892327539157,1,0.013976856998851872
0.006,3.302763147542872,0.055709836274717026,0.017554458624060326,,1.8505512907373534,pivot_g2,0.05,430,9c9f6a1fb48f5b4ae702c584ac1999916254b3f158f6bad1fd21118d62846250,12.080805156345736,26,13,13,0,0.0,200,0.946154,430,0,0.00498069,0,88,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,3.302763147542872,1.8505512907373534,12.080805156345736,1,0.015349090999734472
0.0,10.393284616382514,2.220446049250313e-16,2.8328685509662797e-17,,10.645834363835602,raw,0.05,127,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,6.844286294984423,,,,0,0.0,,,,,,0,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,10.393284616382514,10.645834363835602,6.844286294984423,1,0.009241817000656738
0.0,0.7153701772419533,0.030800461798113438,0.005823686373111144,,1.448581680804423,simple,0.05,127,2e65fe2b2d006d28f2e180d4317112efca9b9223874925ad5f4cc5217328a4dc,6.821921027306835,,,,0,0.0,,,,,,0,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.7153701772419533,1.448581680804423,6.821921027306835,1,0.004331553000156418
