algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,10.586468416278914,1.6653345369377348e-16,3.2300595708537726e-17,,0.3125696764130022,0.1449222268733815,0.2146446641391273,0,199,9.250310114884396,raw,0.05,95,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,4.804138924663965,,,,0,0.0,,,,,,0,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,10.586468416278914,9.250310114884396,4.804138924663965,1,0.007146558000385994
0.0,2.1132032467520028,0.03899918485629024,0.00959186287674576,,0.32998398886408375,0.2146446641391273,0.2146446641391273,0,174,1.9794215068088645,simple,0.05,95,0d2b5fca29c24039dc9b4f191de317cc3db56168206dd855db0c6e668f99eff1,4.765797971185257,,,,0,0.0,,,,,,0,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.1132032467520028,1.9794215068088645,4.765797971185257,1,0.011769847000323352
0.0,2.9273428443473986,0.009817754106654973,0.0018296988328444955,,0.33437328004887884,0.21959563989254183,0.23390290478282266,0,167,2.7775261891175456,savitzky_golay,0.05,95,32bd40a56e6d870cfb8bdee770d54ecfb44245759b1a878cc3bb654b38651e7a,4.7975576164903755,,,,0,0.0,,,,,,0,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.9273428443473986,2.7775261891175456,4.7975576164903755,1,0.009299303999796393
0.0,2.2721471387894843,0.042489118484206015,0.015333340947729101,,0.3362177243468454,0.2146446641391273,0.23390290478282266,0,157,2.040825207474077,constrained,0.05,95,69c68e9c5babf0557cd239346f2965516723577272cc21ad1dad45d2b78caba0,4.812059078642961,,,,0,0.0,,,,,,0,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.2721471387894843,2.040825207474077,4.812059078642961,1,0.013482323000062024
0.0,3.106887518721367,0.032324965550968456,0.013385342270219949,,0.31077863511393067,0.21959563989254183,0.21959563989254183,0,169,3.7492307169352492,pivot_g2,0.05,163,91d0ceb996f75038b4edd59698695977717ad99dccc2a848d440d6917a896bc4,4.793516079504747,22,4,4,0,0.0,200,1,163,0,0.00297178,0,22,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,3.106887518721367,3.7492307169352492,4.793516079504747,1,0.013315481999597978
0.0,27.255751021200826,4.440892098500626e-16,7.145304777218859e-17,,0.48540778056671346,0.06464466190395313,0.2146446641391273,0,524,11.656228105628351,raw,0.05,260,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,13.646315280980623,,,,0,0.0,,,,,,0,,ThetaStar,275,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,1,long_southwest_to_northeast,True,27.255751021200826,11.656228105628351,13.646315280980623,1,0.020139371999903233
0.0,4.351472288051532,0.03730312840053469,0.008552606176866215,,0.4671293341528261,0.06464466190395313,0.2146446641391273,0,524,2.0721477609566445,simple,0.05,260,41ee15fdc31d858fdeaca09c0db9c962e0487c165393bd4322f6d3975abbf746,13.552568035118897,,,,0,0.0,,,,,,0,,ThetaStar,273,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,1,long_southwest_to_northeast,True,4.351472288051532,2.0721477609566445,13.552568035118897,1,0.019000760999915656
0.0,8.858459519611403,0.01773894803918704,0.0020268166195472155,,0.46921481510209134,0.06464466190395313,0.2146446641391273,0,485,5.263759217985202,savitzky_golay,0.05,260,adf5436f642f2422bed7834d4e01e049f831fc6d93afe643058e87e126afcaad,13.624985612881288,,,,0,0.0,,,,,,0,,ThetaStar,274,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,1,long_southwest_to_northeast,True,8.858459519611403,5.263759217985202,13.624985612881288,1,0.017861057000118308
0.0,6.170812059826186,0.04107251326888098,0.012201362142580406,,0.4602375138314119,0.06464466190395313,0.2146446641391273,0,429,3.5527299133952157,constrained,0.05,260,5afa3f0fead0cb9c99b1e0a88ced5b4a140dde4c6d103053793d0abfe0209216,13.641180917189766,,,,0,0.0,,,,,,0,,ThetaStar,274,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,1,long_southwest_to_northeast,True,6.170812059826186,3.5527299133952157,13.641180917189766,1,0.030566580000595422
0.0,12.252708854460003,0.03093996624732679,0.004563518642418817,,0.4356542363558354,0.06464466190395313,0.2146446641391273,0,631,9.843181389943112,pivot_g2,0.05,602,b720f82f5b0bfdbb315f1b1ff2e4dca90bfe6c0b93d0a7fdfa7f77b555f3b0fb,13.617333719015047,96,15,14,1,0.7853981633974485,200,1,602,1,0.00662218,0.7853981633974485,100,ThetaStar,274,e5d1348111c868021774536b83d52d389c6f2015862241d82f8105e9bcd04f2f,1,long_southwest_to_northeast,True,5.649400183230174,3.7628261943448895,13.620967761509725,2,0.029102226999384584
