algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,wall_time_s
0.0,4.163921694297389,0.03804404378173487,0.00850379491533607,,2.0812606257319244,simple,0.05,258,aac70a3eb1d57a0cf06f625073151ebc3558ff4c44c2f5f0d51dab1515220d8a,13.557226606194742,,,,,,,,,,ThetaStar,273,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,1,long_southwest_to_northeast,True,0.007854372001020238
0.0,8.851668446413926,0.018731656720177323,0.0021552159038439366,,5.024601027122457,savitzky_golay,0.05,258,db04c76cb8e7084e335eae6aff7d2fc6b39e8252753971180089b3ab93d0642c,13.627644482831244,,,,,,,,,,ThetaStar,274,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,1,long_southwest_to_northeast,True,0.011469533999843406
0.012,6.149653954506279,0.030133447158078717,0.009438615663213341,,3.8206150994412527,constrained,0.05,258,92062ca59cd7ef4cbff8335632fd683874dcde748a7a70bfb494dbd8027fe813,13.636584800605325,,,,,,,,,,ThetaStar,274,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,1,long_southwest_to_northeast,True,0.018208215000413475
0.003,30.037852105952165,0.03665208598686319,0.009693488290209672,,14.606847838065073,pivot_g2,0.05,460,430a42c791c6f3d2df01ba08cfb66ba63399ff35740a73d8f92b1d53919a3fbe,13.641410726698112,31,18,13,200,1,460,5,0.00418648,83,ThetaStar,274,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,1,long_southwest_to_northeast,True,0.012528057999588782
0.003,35.86313346018871,2.220446049250313e-16,3.941311727779985e-17,,13.211045397234837,raw,0.05,259,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,13.655353025710083,,,,,,,,,,ThetaStar,275,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,1,long_northeast_to_southwest,True,0.008827923998978804
0.003,4.180596131040947,0.036625392833916415,0.008758160776272575,,1.8921730784334378,simple,0.05,259,d93f09fa34c9793dd0f22712e0a864101f196d64017f16b646e7e15ca1d363f1,13.55266185245519,,,,,,,,,,ThetaStar,273,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,1,long_northeast_to_southwest,True,0.007572211001388496
0.0,9.615439632368913,0.01486201384118413,0.002318322805683771,,4.038571942491414,savitzky_golay,0.05,259,f2f63d511f90979f3e67dc37d013b77b858b7ff3371fdb27962d4a3fa516b41b,13.625722153920535,,,,,,,,,,ThetaStar,274,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,1,long_northeast_to_southwest,True,0.006510203000289039
0.012,6.298425752633718,0.031257552692555604,0.011579973431311178,,4.164416474647219,constrained,0.05,259,e5b0f1fd7982cc0d001bcdd2fd73b433205350fcb4bebd8e1ce3c4d9694923df,13.638153366451794,,,,,,,,,,ThetaStar,274,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,1,long_northeast_to_southwest,True,0.017183947000376065
0.006,21.64266702206326,0.013190805467195975,0.001416188837993775,,13.211045397234995,pivot_g2,0.05,526,046db5c5e354b4bda749e4ea2134e60696d92b85de65f73889d69aed7112c8e4,13.638705656278894,34,21,18,200,0.980556,526,3,0.00516521,107,ThetaStar,274,7624a0bc6b964fcabe219675f37ed371998503fdb10599150e695cde769780e2,1,long_northeast_to_southwest,True,0.015148409000175889
0.003,5.1002111312387,4.440892098500626e-16,9.677360986340288e-17,,3.4349646960949354,raw,0.05,214,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,12.085153966863464,,,,,,,,,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.007760098000289872
